Address,Most Popular Breed,Number of Dogs
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Pit Bull Terrier,68
"Imlay City, MI 48444",Belgian Shepherd / Malinois,57
"Saginaw, MI 48602",Pit Bull Terrier,53
"Detroit, MI 48202",Pit Bull Terrier,47
"14345 Bagley St , West Olive, MI 49460",Mixed Breed,46
"G-4351 W Pasadena Avenue , Flint, MI 48504",Terrier,44
"6955 West KL Ave Pet Rescue & Adoption Center, Kalamazoo, MI 49009",Mixed Breed,40
"3279 E Laketon Ave , Muskegon, MI 49442",Mixed Breed,39
"3077 Wilson Dr. NW Walker, MI 49534, Grand Rapids, MI 49534",Mixed Breed,35
"16121 Reckinger Road , Dearborn, MI 48121",Mixed Breed,25
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Pit Bull Terrier,25
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Pit Bull Terrier,25
"Warren, MI 48089",Pit Bull Terrier,20
"07591 Blue Star Hwy , South Haven, MI 49090",Mixed Breed,19
"2752 W. Bennington Road , Owosso, MI 48867",Mixed Breed,17
"3279 E Laketon Ave , Muskegon, MI 49442",Labrador Retriever,17
"Grand Rapids, MI 49503",Mixed Breed,17
"219 Peekstock Drive , Kalamazoo, MI 49001",Hound,15
"740 Fuller Ave. NE , Grand Rapids, MI 49503",American Staffordshire Terrier,15
"Birmingham, MI 48012",Terrier,15
"G-4351 W Pasadena Avenue , Flint, MI 48504",Mixed Breed,14
"8935 Thompson Rd. , Lake Odessa, MI 48849",Terrier,13
"Imlay City, MI 48444",Dutch Shepherd,13
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Mixed Breed,11
"2293 33rd Street , Allegan, MI 49010",Mixed Breed,11
"7095 West Grand River Avenue , Lansing, MI 48906",Mixed Breed,11
"7887 Chrysler Drive , Detroit, MI 48211",Pit Bull Terrier,10
"Grand Rapids, MI 49525",Weimaraner,10
"614 Beardsley St. , Boyne City, MI 49712",Pit Bull Terrier,9
"Charlotte, MI 48813",Mixed Breed,9
"Ferndale, MI 48220",Hound,9
"Holly, MI 48442",Mixed Breed,9
"Livonia, MI 48152",Labrador Retriever,9
"Macomb, MI 48042",Shepherd,9
"Muskegon, MI 49442",Shepherd,9
"St Johns, MI 48879",Mixed Breed,9
"3390 S Dog Track Rd. , Baldwin, MI 49304",Pit Bull Terrier,8
"Clinton Township, MI 48036",Pit Bull Terrier,8
"Detroit, MI 48202",American Bulldog,8
"Detroit, MI 48216",Terrier,8
"Grand Rapids, MI 49548",Australian Cattle Dog / Blue Heeler,8
"Oak Park, MI 48237",American Staffordshire Terrier,8
"Saginaw, MI 48603",Pit Bull Terrier,8
"Birmingham, MI 48012",Boxer,7
"Ferndale, MI 48220",German Shepherd Dog,7
"Grand Rapids, MI 49505",American Staffordshire Terrier,7
"Metamora, MI 48455",Mixed Breed,7
"Muskegon, MI 49442",Chihuahua,7
"Muskegon, MI 49442",Labrador Retriever,7
"Oxford, MI 48371",Pit Bull Terrier,7
"Warren, MI 48089",German Shepherd Dog,7
"1316 Lamont Ave , Kalamazoo, MI 49001",Pit Bull Terrier,6
"27796 John R , Madison Heights, MI 48071",Terrier,6
"323 M-62 North PO Box 132, Cassopolis, MI 49031",Mixed Breed,6
"8935 Thompson Rd. , Lake Odessa, MI 48849",Labrador Retriever,6
"Birmingham, MI 48012",Labrador Retriever,6
"Detroit, MI 48219",Pit Bull Terrier,6
"Eastpointe, MI 48021",Pit Bull Terrier,6
"Ferndale, MI 48220",Labrador Retriever,6
"Macomb, MI 48042",Terrier,6
"Muskegon, MI 49442",Australian Kelpie,6
"P.O. Box 233 , Belleville, MI 48111",Pit Bull Terrier,6
"P.O. Box 51935 , Livonia, MI 48151",Pit Bull Terrier,6
"Plymouth, MI 48170",Hound,6
"Saginaw, MI 48603",Boxer,6
"Troy, MI 48099",American Staffordshire Terrier,6
"Westland, MI 48185",Pit Bull Terrier,6
"White Lake, MI 48386",American Staffordshire Terrier,6
"13569 Joseph Campau , Detroit, MI 48212",Pit Bull Terrier,5
"Detroit, MI 48219",Mixed Breed,5
"Livonia, MI 48152",Beagle,5
"Muskegon, MI 49442",German Shepherd Dog,5
"Oak Park, MI 48237",Pit Bull Terrier,5
"PO Box 180155 , Utica, MI 48318",Terrier,5
"Plymouth, MI 48170",Terrier,5
"11350 22 Mile Road , Utica, MI 48317",Pit Bull Terrier,4
"1300 West Conway Road , Harbor Springs, MI 49740",Pit Bull Terrier,4
"1406 6th Ave , Cadillac, MI 49601",Labrador Retriever,4
"165 S. Union , Battle Creek, MI 49014",Terrier,4
"18400 220th Avenue , Big Rapids, MI 49307",Pit Bull Terrier,4
"219 Peekstock Drive , Kalamazoo, MI 49001",Mixed Breed,4
"2266 N Lapeer Road , Lapeer, MI 48446",Mixed Breed,4
"2293 33rd Street , Allegan, MI 49010",German Shepherd Dog,4
"2293 33rd Street , Allegan, MI 49010",Pit Bull Terrier,4
"323 M-62 North PO Box 132, Cassopolis, MI 49031",German Shepherd Dog,4
"3279 E Laketon Ave , Muskegon, MI 49442",American Bulldog,4
"3279 E Laketon Ave , Muskegon, MI 49442",Husky,4
"3279 E Laketon Ave , Muskegon, MI 49442",Shepherd,4
"3365 Freeland Road , Saginaw, MI 48604",Staffordshire Bull Terrier,4
"3750 Foco Rd PO Box 1131, Standish, MI 48658",Pit Bull Terrier,4
"51299 Arkona Rd. , Belleville, MI 48111",Pit Bull Terrier,4
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Hound,4
"8935 Thompson Rd. , Lake Odessa, MI 48849",German Shepherd Dog,4
"Detroit, MI 48216",Labrador Retriever,4
"Eagle, MI 48822",Border Collie,4
"Ferndale, MI 48220",American Bulldog,4
"Flint, MI 48503",American Staffordshire Terrier,4
"Gladwin, MI 48624",Husky,4
"Grand Rapids, MI 49505",Pit Bull Terrier,4
"Grand Rapids, MI 49505",Whippet,4
"Grosse Pointe Park, MI 48230",Great Pyrenees,4
"Muskegon, MI 49442",Dachshund,4
"Muskegon, MI 49442",Weimaraner,4
"New Baltimore, MI 48047",Pit Bull Terrier,4
"P.O. Box 194 , Wayne, MI 48184",Greyhound,4
"PO Box 285 , Frankenmuth, MI 48734",American Staffordshire Terrier,4
"PO Box 475 7645 West 48th Street, Fremont, MI 49412",Pit Bull Terrier,4
"Plymouth, MI 48170",Chihuahua,4
"Warren, MI 48089",Terrier,4
"White Lake, MI 48386",Pit Bull Terrier,4
"l536 Hackleburg Road , Cheboygan, MI 49721",Pit Bull Terrier,4
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Labrador Retriever,3
"11350 22 Mile Road , Utica, MI 48317",American Staffordshire Terrier,3
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Australian Cattle Dog / Blue Heeler,3
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Labrador Retriever,3
"1367 S. M-33 , West Branch, MI 48661",American Staffordshire Terrier,3
"18400 220th Avenue , Big Rapids, MI 49307",Mixed Breed,3
"21417 Dunham Road , Clinton Township, MI 48036",Pit Bull Terrier,3
"219 Peekstock Drive , Kalamazoo, MI 49001",Husky,3
"219 Peekstock Drive , Kalamazoo, MI 49001",Terrier,3
"2293 33rd Street , Allegan, MI 49010",Boxer,3
"2293 33rd Street , Allegan, MI 49010",Husky,3
"2293 33rd Street , Allegan, MI 49010",Labrador Retriever,3
"2738 W. Caro Road , Caro, MI 48723",American Staffordshire Terrier,3
"305 N.Meyers Road , Ludington, MI 49431",Pit Bull Terrier,3
"3100 Cherry Hill Road , Ann Arbor, MI 48105",German Shepherd Dog,3
"3100 Cherry Hill Road , Ann Arbor, MI 48105",Hound,3
"3279 E Laketon Ave , Muskegon, MI 49442",Spaniel,3
"3279 E Laketon Ave , Muskegon, MI 49442",Terrier,3
"35 Campbell Rd. 65 N. Elk St., Sandusky, MI 48471",Pit Bull Terrier,3
"4038 Hazel Drive , Harrison, MI 48625",Pit Bull Terrier,3
"4371 E. Ashman , Midland, MI 48641",Mixed Breed,3
"5310 W. Houghton Lake Rd (M-55) P.O. Box D, Lake City, MI 49651",Pit Bull Terrier,3
"6955 West KL Ave Pet Rescue & Adoption Center, Kalamazoo, MI 49009",Pit Bull Terrier,3
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Siberian Husky,3
"8935 Thompson Rd. , Lake Odessa, MI 48849",Pit Bull Terrier,3
"969 Wildwood Rd , Quincy, MI 49082",Boxer,3
"969 Wildwood Rd , Quincy, MI 49082",Labrador Retriever,3
"Battle Creek, MI 49017",Husky,3
"Birmingham, MI 48012",American Bulldog,3
"Clinton Township, MI 48036",Beagle,3
"Clinton Township, MI 48036",Boxer,3
"Clinton Township, MI 48036",Labrador Retriever,3
"Clinton Township, MI 48036",Terrier,3
"Deerfield, MI 49238",Mixed Breed,3
"Detroit, MI 48216",German Shepherd Dog,3
"Detroit, MI 48219",American Staffordshire Terrier,3
"Gladwin, MI 48624",Alaskan Malamute,3
"Grand Rapids, MI 49505",Labrador Retriever,3
"Livonia, MI 48152",Chihuahua,3
"Livonia, MI 48152",Poodle,3
"Macomb, MI 48042",Labrador Retriever,3
"Manistee, MI 49660",Pit Bull Terrier,3
"Marine City, MI 48039",Pit Bull Terrier,3
"Metamora, MI 48455",Pit Bull Terrier,3
"Muskegon, MI 49442",Boxer,3
"Muskegon, MI 49442",Miniature Pinscher,3
"New Baltimore, MI 48047",Labrador Retriever,3
"P.O. Box 190121 , Burton, MI 48519",American Staffordshire Terrier,3
"P.O. Box 233 , Belleville, MI 48111",American Staffordshire Terrier,3
"P.O. Box 233 , Belleville, MI 48111",Cane Corso,3
"PO Box 180155 , Utica, MI 48318",American Staffordshire Terrier,3
"PO Box 475 7645 West 48th Street, Fremont, MI 49412",Beagle,3
"PO Box 606 , Garden City, MI 48136",American Staffordshire Terrier,3
"Plymouth, MI 48170",German Shepherd Dog,3
"Plymouth, MI 48170",Labrador Retriever,3
"Pontiac, MI 48341",Belgian Shepherd / Malinois,3
"Pontiac, MI 48341",Terrier,3
"Traverse City, MI 49684",Labrador Retriever,3
"Traverse City, MI 49696",Mixed Breed,3
"Warren, MI 48089",Great Dane,3
"White Lake, MI 48386",Border Collie,3
"White Lake, MI 48386",Labrador Retriever,3
"fennville, MI 49408",Pit Bull Terrier,3
"07591 Blue Star Hwy , South Haven, MI 49090",Boxer,2
"1105 S. Isabella Road , Mount Pleasant, MI 48858",American Bulldog,2
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Boxer,2
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Pit Bull Terrier,2
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Terrier,2
"1170 GROVE STREET , Wyandotte, MI 48192",American Bulldog,2
"1170 GROVE STREET , Wyandotte, MI 48192",Boxer,2
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",American Bulldog,2
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Boxer,2
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Shepherd,2
"1300 West Conway Road , Harbor Springs, MI 49740",Labrador Retriever,2
"1300 West Conway Road , Harbor Springs, MI 49740",Mixed Breed,2
"1316 Lamont Ave , Kalamazoo, MI 49001",Siberian Husky,2
"1367 S. M-33 , West Branch, MI 48661",Pit Bull Terrier,2
"1515 Carmen Drive , Jackson, MI 49202",German Shepherd Dog,2
"1515 Carmen Drive , Jackson, MI 49202",McNab,2
"1515 Carmen Drive , Jackson, MI 49202",Shepherd,2
"18400 220th Avenue , Big Rapids, MI 49307",Husky,2
"185 Panther Dr , Holland, MI 49424",Spitz,2
"2120 Metamora Road , Oxford, MI 48371",Mixed Breed,2
"21417 Dunham Road , Clinton Township, MI 48036",Boxer,2
"219 Peekstock Drive , Kalamazoo, MI 49001",Corgi,2
"219 Peekstock Drive , Kalamazoo, MI 49001",Pit Bull Terrier,2
"2266 N Lapeer Road , Lapeer, MI 48446",Hound,2
"2266 N Lapeer Road , Lapeer, MI 48446",Terrier,2
"2640 Marquette  Avenue , Muskegon, MI 49442",Labrador Retriever,2
"2640 Marquette  Avenue , Muskegon, MI 49442",Shepherd,2
"2752 W. Bennington Road , Owosso, MI 48867",Boxer,2
"27796 John R , Madison Heights, MI 48071",Chihuahua,2
"323 M-62 North PO Box 132, Cassopolis, MI 49031",American Bulldog,2
"3279 E Laketon Ave , Muskegon, MI 49442",Australian Shepherd,2
"3279 E Laketon Ave , Muskegon, MI 49442",Black Labrador Retriever,2
"3279 E Laketon Ave , Muskegon, MI 49442",Chocolate Labrador Retriever,2
"3279 E Laketon Ave , Muskegon, MI 49442",German Shepherd Dog,2
"3279 E Laketon Ave , Muskegon, MI 49442",Rat Terrier,2
"3279 E Laketon Ave , Muskegon, MI 49442",Yellow Labrador Retriever,2
"3365 Freeland Road , Saginaw, MI 48604",Pit Bull Terrier,2
"3378 Griswold Road , Port Huron, MI 48060",Pit Bull Terrier,2
"3384 9th St. , Monroe, MI 48162",Greyhound,2
"418 S. Highlander Way , Howell, MI 48843",Pit Bull Terrier,2
"418 S. Highlander Way , Howell, MI 48843",Staffordshire Bull Terrier,2
"502 N. SAVIDGE , Reed City, MI 49677",Plott Hound,2
"5205 Airline Rd , Muskegon, MI 49443",Husky,2
"5205 Airline Rd , Muskegon, MI 49443",Labrador Retriever,2
"600 Buhl St , Mason, MI 48854",Pit Bull Terrier,2
"6266 Lapeer Road , Clyde, MI 48049",Pit Bull Terrier,2
"740 Fuller Ave. NE , Grand Rapids, MI 49503",German Shepherd Dog,2
"740 Fuller Ave. NE , Grand Rapids, MI 49503",Labrador Retriever,2
"8935 Thompson Rd. , Lake Odessa, MI 48849",Border Collie,2
"8935 Thompson Rd. , Lake Odessa, MI 48849",Catahoula Leopard Dog,2
"969 Wildwood Rd , Quincy, MI 49082",Black Labrador Retriever,2
"Allen Park, MI 48101",American Staffordshire Terrier,2
"Almont, MI 48003",Bullmastiff,2
"Battle Creek, MI 49016",Pit Bull Terrier,2
"Birmingham, MI 48012",Border Collie,2
"Birmingham, MI 48012",German Shepherd Dog,2
"Birmingham, MI 48012",Retriever,2
"Birmingham, MI 48012",Shepherd,2
"Boon, MI 49618",Siberian Husky,2
"Clinton Township, MI 48036",Shepherd,2
"Coldwater, MI 49036",Labrador Retriever,2
"Deerfield, MI 49238",Shepherd,2
"Detroit, MI 48202",Chihuahua,2
"Detroit, MI 48202",German Shepherd Dog,2
"Detroit, MI 48216",Doberman Pinscher,2
"Detroit, MI 48221",Havanese,2
"East Lansing, MI 48823",Terrier,2
"Eastpointe, MI 48021",American Staffordshire Terrier,2
"Ferndale, MI 48220",American Staffordshire Terrier,2
"G-4351 W Pasadena Avenue , Flint, MI 48504",Mastiff,2
"Gladwin, MI 48624",German Shepherd Dog,2
"Gladwin, MI 48624",Labrador Retriever,2
"Gladwin, MI 48624",Siberian Husky,2
"Grand Rapids, MI 49505",Mixed Breed,2
"Grand Rapids, MI 49548",German Shepherd Dog,2
"Grand Rapids, MI 49548",Labrador Retriever,2
"Grosse Pointe Park, MI 48230",Chihuahua,2
"Grosse Pointe Park, MI 48230",Terrier,2
"Harrison, MI 48625",Chihuahua,2
"Harrison, MI 48625",Standard Poodle,2
"Imlay City, MI 48444",Belgian Shepherd / Tervuren,2
"Kalamazoo, MI 49009",White German Shepherd,2
"Kentwood, MI 49548",Pit Bull Terrier,2
"Linden, MI 48451",Border Collie,2
"Livonia, MI 48152",American Bulldog,2
"Livonia, MI 48152",American Staffordshire Terrier,2
"Livonia, MI 48152",Pit Bull Terrier,2
"Livonia, MI 48152",Shepherd,2
"Livonia, MI 48152",Terrier,2
"Macomb, MI 48042",Black Labrador Retriever,2
"Macomb, MI 48042",Chocolate Labrador Retriever,2
"Macomb, MI 48042",German Shepherd Dog,2
"Mancelona, MI 49659",American Staffordshire Terrier,2
"Manistee, MI 49660",German Shepherd Dog,2
"Metamora, MI 48455",Catahoula Leopard Dog,2
"Metamora, MI 48455",Chocolate Labrador Retriever,2
"Metamora, MI 48455",Hound,2
"Milan, MI 48160",Rottweiler,2
"Muskegon, MI 49442",Pug,2
"Muskegon, MI 49442",Wheaten Terrier,2
"Oakland, MI 48363",Siberian Husky,2
"Oakland, MI 48363",Yorkshire Terrier,2
"Oxford, MI 48371",Beagle,2
"Oxford, MI 48371",Shepherd,2
"P.O. Box 190121 , Burton, MI 48519",American Bulldog,2
"P.O. Box 190121 , Burton, MI 48519",Pit Bull Terrier,2
"P.O. Box 190121 , Burton, MI 48519",Terrier,2
"P.O. Box 29 , Armada, MI 48005",Chihuahua,2
"P.O. Box 29 , Armada, MI 48005",Labrador Retriever,2
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",American Staffordshire Terrier,2
"P.O. Box 384 5786 Fairground Lane, Grayling, MI 49738",Terrier,2
"PO Box 180155 , Utica, MI 48318",Feist,2
"PO Box 180155 , Utica, MI 48318",Labrador Retriever,2
"PO Box 1953 , Traverse City, MI 49685",Pit Bull Terrier,2
"PO Box 285 , Frankenmuth, MI 48734",Pit Bull Terrier,2
"PO Box 3295 2938 Business One Drive, Kalamazoo, MI 49003",Pit Bull Terrier,2
"Plymouth, MI 48170",Pit Bull Terrier,2
"Reed City, MI 49677",German Shepherd Dog,2
"Saginaw, MI 48602",Labrador Retriever,2
"Saginaw, MI 48602",Mastiff,2
"Saginaw, MI 48602",Staffordshire Bull Terrier,2
"Saginaw, MI 48603",American Staffordshire Terrier,2
"Sanford, MI 48657",Boxer,2
"Sterling Heights, MI 48313",Pit Bull Terrier,2
"Traverse City, MI 49684",Pit Bull Terrier,2
"Traverse City, MI 49696",Boxer,2
"Troy, MI 48083",American Staffordshire Terrier,2
"Warren, MI 48089",Akita,2
"Warren, MI 48089",American Bulldog,2
"Warren, MI 48089",American Staffordshire Terrier,2
"Warren, MI 48089",Jack Russell Terrier,2
"Warren, MI 48089",Labrador Retriever,2
"Warren, MI 48091",Pomeranian,2
"West Bloomfield, MI 48325",Pit Bull Terrier,2
"West Bloomfield, MI 48325",Terrier,2
"White Lake, MI 48386",Boxer,2
"White Lake, MI 48386",German Shepherd Dog,2
"l536 Hackleburg Road , Cheboygan, MI 49721",Mixed Breed,2
"07591 Blue Star Hwy , South Haven, MI 49090",Chow Chow,1
"07591 Blue Star Hwy , South Haven, MI 49090",Husky,1
"1 , Ann Arbor, MI 48103",Siberian Husky,1
"1 , Lincoln Park, MI 48146",Siberian Husky,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Australian Cattle Dog / Blue Heeler,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Bull Terrier,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Great Dane,1
"1105 S. Isabella Road , Mount Pleasant, MI 48858",Shepherd,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Bluetick Coonhound,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Husky,1
"1110 Short Drive Prudenville, Prudenville, MI 48651",Pit Bull Terrier,1
"11350 22 Mile Road , Utica, MI 48317",Mixed Breed,1
"1170 GROVE STREET , Wyandotte, MI 48192",Vizsla,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",Akita,1
"1200 N. Telegraph Building 42 East, Pontiac, MI 48341",American Bully,1
